ano,regiao,media_taxa_motorizacao
2001,Centro-Oeste,290.527143163535
2001,Nordeste,166.46591322619435
2001,Norte,131.96310512251378
2001,Sudeste,292.33808494525175
2001,Sul,373.79854537915531
2002,Centro-Oeste,304.24828997859851
2002,Nordeste,175.80819495576279
2002,Norte,143.65622759342958
2002,Sudeste,304.856499705869
2002,Sul,391.98775568023405
2003,Centro-Oeste,316.46170908163151
2003,Nordeste,184.617600810807
2003,Norte,154.84944372522315
2003,Sudeste,315.94702015294774
2003,Sul,406.25077672378706
2004,Centro-Oeste,325.30070117099319
2004,Nordeste,177.52225137751435
2004,Norte,163.68856193772257
2004,Sudeste,323.31193920789622
2004,Sul,414.27575935521969
2005,Centro-Oeste,342.260597066773
2005,Nordeste,185.63113542535868
2005,Norte,178.83002172054185
2005,Sudeste,335.96962944375923
2005,Sul,431.92158430971466
2006,Centro-Oeste,361.62835953690126
2006,Nordeste,196.59591470579312
2006,Norte,203.06971315261555
2006,Sudeste,353.83609958833148
2006,Sul,448.78322496852167
2007,Centro-Oeste,397.84512707673673
2007,Nordeste,215.1161686731852
2007,Norte,244.84370910599361
2007,Sudeste,383.722091129637
2007,Sul,485.79291991257566
2008,Centro-Oeste,424.79628387046876
2008,Nordeste,231.56636533532787
2008,Norte,262.74854266873774
2008,Sudeste,411.04786121971551
2008,Sul,511.36470368552006
2009,Centro-Oeste,459.04586621261546
2009,Nordeste,253.09159054286943
2009,Norte,290.07947625000673
2009,Sudeste,438.59673831706647
2009,Sul,536.692379688848
2010,Centro-Oeste,494.65261886845519
2010,Nordeste,281.87222669089289
2010,Norte,301.67836020531928
2010,Sudeste,463.41222812041576
2010,Sul,572.93594400867062
2011,Centro-Oeste,527.49772167749825
2011,Nordeste,306.23987857883947
2011,Norte,330.44371499269238
2011,Sudeste,486.374336264859
2011,Sul,598.46389634532568
2012,Centro-Oeste,558.589405931152
2012,Nordeste,327.91977368684218
2012,Norte,353.51424160765015
2012,Sudeste,506.55682102411851
2012,Sul,622.91105501897994
2013,Centro-Oeste,572.17391044874046
2013,Nordeste,339.20985276174093
2013,Norte,361.88022694172633
2013,Sudeste,511.27210669534395
2013,Sul,625.898699915168
2014,Centro-Oeste,592.86058405143444
2014,Nordeste,355.48752747316973
2014,Norte,380.09355909996293
2014,Sudeste,529.51985747052879
2014,Sul,645.22649080065628
2015,Centro-Oeste,604.493671237541
2015,Nordeste,367.79083174560276
2015,Norte,393.01565877552832
2015,Sudeste,540.629429946919
2015,Sul,652.43665166587061
2016,Centro-Oeste,611.89521002112429
2016,Nordeste,375.87734509047743
2016,Norte,400.13794834925665
2016,Sudeste,550.87719584029583
2016,Sul,653.756459790838
2017,Centro-Oeste,621.09317738091249
2017,Nordeste,384.9394477423524
2017,Norte,408.399720150028
2017,Sudeste,567.38082743482244
2017,Sul,656.71067066777641
2018,Centro-Oeste,636.00322858075458
2018,Nordeste,399.99051393766473
2018,Norte,410.019957626897
2018,Sudeste,593.75681866944615
2018,Sul,666.74686987646635